DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e0|DDI-DrugBank.d105.s0.e1|null|h1_lemma=increase|h2_lemma=aggregation|h1_tag=VB|h2_tag=NN|path=anticoagulant>compound>compound>conj>nmod
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e2|DDI-DrugBank.d105.s0.e5|effect|h1_lemma=drug|h2_lemma=administer|h1_tag=NNS|h2_tag=VBN|path=amod<nmod<conj<nmod<nsubj<increase>obl>dep>advmod|lemmainbetween=increase|lemmainbetween=administer
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e3|DDI-DrugBank.d105.s0.e4|null|h1_lemma=drug|h2_lemma=drug|h1_tag=NNS|h2_tag=NNS|path=dep<drug>conj
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e3|DDI-DrugBank.d105.s0.e5|effect|h1_lemma=drug|h2_lemma=administer|h1_tag=NNS|h2_tag=VBN|path=dep<nmod<conj<nmod<nsubj<increase>obl>dep>advmod|lemmainbetween=increase|lemmainbetween=administer
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e4|DDI-DrugBank.d105.s0.e5|effect|h1_lemma=drug|h2_lemma=administer|h1_tag=NNS|h2_tag=VBN|path=conj<nmod<conj<nmod<nsubj<increase>obl>dep>advmod|lemmainbetween=increase|lemmainbetween=administer
DDI-DrugBank.d153.s0|DDI-DrugBank.d153.s0.e0|DDI-DrugBank.d153.s0.e1|null|h1_lemma=solution|h2_lemma=contain|h1_tag=NNS|h2_tag=VBG|path=amod<solution>obj>acl
DDI-DrugBank.d153.s0|DDI-DrugBank.d153.s0.e0|DDI-DrugBank.d153.s0.e2|null|h1_lemma=solution|h2_lemma=epinephrine|h1_tag=NNS|h2_tag=NN|path=amod<solution>conj>obj>acl
DDI-DrugBank.d153.s0|DDI-DrugBank.d153.s0.e0|DDI-DrugBank.d153.s0.e3|null|h1_lemma=solution|h2_lemma=inhibitor|h1_tag=NNS|h2_tag=NNS|path=amod<solution>compound>obj>acl>obl>acl
DDI-DrugBank.d153.s0|DDI-DrugBank.d153.s0.e0|DDI-DrugBank.d153.s0.e4|null|h1_lemma=solution|h2_lemma=antidepressant|h1_tag=NNS|h2_tag=NNS|path=amod<solution>amod>conj>obj>acl>obl>acl
DDI-DrugBank.d153.s0|DDI-DrugBank.d153.s0.e1|DDI-DrugBank.d153.s0.e2|null|h1_lemma=contain|h2_lemma=epinephrine|h1_tag=VBG|h2_tag=NN|path=epinephrine>conj
DDI-DrugBank.d153.s0|DDI-DrugBank.d153.s0.e1|DDI-DrugBank.d153.s0.e3|effect|h1_lemma=contain|h2_lemma=inhibitor|h1_tag=VBG|h2_tag=NNS|path=obj<contain>compound>obj>acl>obl
DDI-DrugBank.d153.s0|DDI-DrugBank.d153.s0.e1|DDI-DrugBank.d153.s0.e4|effect|h1_lemma=contain|h2_lemma=antidepressant|h1_tag=VBG|h2_tag=NNS|path=obj<contain>amod>conj>obj>acl>obl
DDI-DrugBank.d153.s0|DDI-DrugBank.d153.s0.e2|DDI-DrugBank.d153.s0.e3|effect|h1_lemma=epinephrine|h2_lemma=inhibitor|h1_tag=NN|h2_tag=NNS|path=conj<obj<contain>compound>obj>acl>obl
DDI-DrugBank.d153.s0|DDI-DrugBank.d153.s0.e2|DDI-DrugBank.d153.s0.e4|effect|h1_lemma=epinephrine|h2_lemma=antidepressant|h1_tag=NN|h2_tag=NNS|path=conj<obj<contain>amod>conj>obj>acl>obl
DDI-DrugBank.d153.s0|DDI-DrugBank.d153.s0.e3|DDI-DrugBank.d153.s0.e4|null|h1_lemma=inhibitor|h2_lemma=antidepressant|h1_tag=NNS|h2_tag=NNS|path=compound<inhibitor>amod>conj
DDI-DrugBank.d153.s3|DDI-DrugBank.d153.s3.e0|DDI-DrugBank.d153.s3.e1|null|h1_lemma=drug|h2_lemma=type|h1_tag=NNS|h2_tag=NN|path=compound<drug>compound>compound>conj
DDI-DrugBank.d153.s4|DDI-DrugBank.d153.s4.e0|DDI-DrugBank.d153.s4.e1|null|h1_lemma=reduce|h2_lemma=phenothiazine|h1_tag=VB|h2_tag=NNS|path=phenothiazine>conj
DDI-DrugBank.d153.s4|DDI-DrugBank.d153.s4.e0|DDI-DrugBank.d153.s4.e2|effect|h1_lemma=reduce|h2_lemma=effect|h1_tag=VB|h2_tag=NN|path=nsubj<reduce>nmod>obj
DDI-DrugBank.d153.s4|DDI-DrugBank.d153.s4.e1|DDI-DrugBank.d153.s4.e2|effect|h1_lemma=phenothiazine|h2_lemma=effect|h1_tag=NNS|h2_tag=NN|path=conj<nsubj<reduce>nmod>obj
DDI-DrugBank.d227.s0|DDI-DrugBank.d227.s0.e0|DDI-DrugBank.d227.s0.e1|effect|h1_lemma=potentiate|h2_lemma=None|h1_tag=VBZ|h2_tag=None|path=None
DDI-DrugBank.d227.s0|DDI-DrugBank.d227.s0.e0|DDI-DrugBank.d227.s0.e2|effect|h1_lemma=potentiate|h2_lemma=relaxant|h1_tag=VBZ|h2_tag=NNS|path=nsubj<potentiate>amod>nsubj:pass>parataxis
DDI-DrugBank.d227.s0|DDI-DrugBank.d227.s0.e1|DDI-DrugBank.d227.s0.e2|null|h1_lemma=None|h2_lemma=relaxant|h1_tag=None|h2_tag=NNS|path=None
DDI-DrugBank.d654.s0|DDI-DrugBank.d654.s0.e0|DDI-DrugBank.d654.s0.e1|null|h1_lemma=co-administration|h2_lemma=auc|h1_tag=NN|h2_tag=NN|path=nmod<co-administration>compound>dep
DDI-DrugBank.d654.s0|DDI-DrugBank.d654.s0.e0|DDI-DrugBank.d654.s0.e2|mechanism|h1_lemma=co-administration|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d654.s0|DDI-DrugBank.d654.s0.e1|DDI-DrugBank.d654.s0.e2|null|h1_lemma=auc|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d654.s1|DDI-DrugBank.d654.s1.e0|DDI-DrugBank.d654.s1.e1|null|h1_lemma=exposure|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d654.s1|DDI-DrugBank.d654.s1.e0|DDI-DrugBank.d654.s1.e2|null|h1_lemma=exposure|h2_lemma=inhibitor|h1_tag=NN|h2_tag=NNS|path=nmod<obl<unnecessary>nmod>obl>advcl
DDI-DrugBank.d654.s1|DDI-DrugBank.d654.s1.e1|DDI-DrugBank.d654.s1.e2|null|h1_lemma=None|h2_lemma=inhibitor|h1_tag=None|h2_tag=NNS|path=None
DDI-DrugBank.d654.s2|DDI-DrugBank.d654.s2.e0|DDI-DrugBank.d654.s2.e1|null|h1_lemma=application|h2_lemma=application|h1_tag=NN|h2_tag=NN|path=nmod<application>appos
DDI-MedLine.d23.s0|DDI-MedLine.d23.s0.e0|DDI-MedLine.d23.s0.e1|null|h1_lemma=effect|h2_lemma=anesthesia|h1_tag=NNS|h2_tag=NN|path=ketamine>compound>conj
DDI-MedLine.d23.s0|DDI-MedLine.d23.s0.e0|DDI-MedLine.d23.s0.e2|null|h1_lemma=effect|h2_lemma=tolerance|h1_tag=NNS|h2_tag=NN|path=nmod<effect>compound>nmod
DDI-MedLine.d23.s0|DDI-MedLine.d23.s0.e1|DDI-MedLine.d23.s0.e2|null|h1_lemma=anesthesia|h2_lemma=tolerance|h1_tag=NN|h2_tag=NN|path=compound<conj<nmod<effect>compound>nmod
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e0|DDI-MedLine.d23.s1.e1|null|h1_lemma=tolerance|h2_lemma=anesthetize|h1_tag=NN|h2_tag=VBN|path=compound<nmod<comparison>obl>acl
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e0|DDI-MedLine.d23.s1.e2|null|h1_lemma=tolerance|h2_lemma=vet|h1_tag=NN|h2_tag=NN|path=compound<nmod<obl<higher>compound>nsubj
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e0|DDI-MedLine.d23.s1.e3|null|h1_lemma=tolerance|h2_lemma=vet|h1_tag=NN|h2_tag=NN|path=compound<nmod<obl<higher>conj>nsubj
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e0|DDI-MedLine.d23.s1.e4|null|h1_lemma=tolerance|h2_lemma=dosage|h1_tag=NN|h2_tag=NN|path=compound<nmod<obl<higher>nmod>appos>nsubj
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e0|DDI-MedLine.d23.s1.e5|null|h1_lemma=tolerance|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e0|DDI-MedLine.d23.s1.e6|null|h1_lemma=tolerance|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e0|DDI-MedLine.d23.s1.e7|null|h1_lemma=tolerance|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e0|DDI-MedLine.d23.s1.e8|null|h1_lemma=tolerance|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e1|DDI-MedLine.d23.s1.e2|null|h1_lemma=anesthetize|h2_lemma=vet|h1_tag=VBN|h2_tag=NN|path=obl<acl<obl<higher>compound>nsubj
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e1|DDI-MedLine.d23.s1.e3|null|h1_lemma=anesthetize|h2_lemma=vet|h1_tag=VBN|h2_tag=NN|path=obl<acl<obl<higher>conj>nsubj
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e1|DDI-MedLine.d23.s1.e4|effect|h1_lemma=anesthetize|h2_lemma=dosage|h1_tag=VBN|h2_tag=NN|path=obl<acl<obl<higher>nmod>appos>nsubj
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e1|DDI-MedLine.d23.s1.e5|null|h1_lemma=anesthetize|h2_lemma=None|h1_tag=VBN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e1|DDI-MedLine.d23.s1.e6|null|h1_lemma=anesthetize|h2_lemma=None|h1_tag=VBN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e1|DDI-MedLine.d23.s1.e7|null|h1_lemma=anesthetize|h2_lemma=None|h1_tag=VBN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e1|DDI-MedLine.d23.s1.e8|null|h1_lemma=anesthetize|h2_lemma=None|h1_tag=VBN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e2|DDI-MedLine.d23.s1.e3|null|h1_lemma=vet|h2_lemma=vet|h1_tag=NN|h2_tag=NN|path=compound<vet>conj
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e2|DDI-MedLine.d23.s1.e4|effect|h1_lemma=vet|h2_lemma=dosage|h1_tag=NN|h2_tag=NN|path=compound<vet>nmod>appos
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e2|DDI-MedLine.d23.s1.e5|null|h1_lemma=vet|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e2|DDI-MedLine.d23.s1.e6|null|h1_lemma=vet|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e2|DDI-MedLine.d23.s1.e7|null|h1_lemma=vet|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e2|DDI-MedLine.d23.s1.e8|null|h1_lemma=vet|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e3|DDI-MedLine.d23.s1.e4|effect|h1_lemma=vet|h2_lemma=dosage|h1_tag=NN|h2_tag=NN|path=conj<vet>nmod>appos
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e3|DDI-MedLine.d23.s1.e5|null|h1_lemma=vet|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e3|DDI-MedLine.d23.s1.e6|null|h1_lemma=vet|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e3|DDI-MedLine.d23.s1.e7|null|h1_lemma=vet|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e3|DDI-MedLine.d23.s1.e8|null|h1_lemma=vet|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e4|DDI-MedLine.d23.s1.e5|null|h1_lemma=dosage|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e4|DDI-MedLine.d23.s1.e6|null|h1_lemma=dosage|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e4|DDI-MedLine.d23.s1.e7|null|h1_lemma=dosage|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e4|DDI-MedLine.d23.s1.e8|null|h1_lemma=dosage|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e5|DDI-MedLine.d23.s1.e6|null|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e5|DDI-MedLine.d23.s1.e7|null|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e5|DDI-MedLine.d23.s1.e8|null|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e6|DDI-MedLine.d23.s1.e7|null|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e6|DDI-MedLine.d23.s1.e8|null|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-MedLine.d23.s1|DDI-MedLine.d23.s1.e7|DDI-MedLine.d23.s1.e8|null|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e0|DDI-MedLine.d23.s2.e1|effect|h1_lemma=induce|h2_lemma=administration|h1_tag=VBN|h2_tag=NN|path=obl<csubj:pass<convert>nmod>obl
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e0|DDI-MedLine.d23.s2.e2|effect|h1_lemma=induce|h2_lemma=Innovar|h1_tag=VBN|h2_tag=NNP|path=obl<csubj:pass<convert>conj>nmod>obl
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e0|DDI-MedLine.d23.s2.e3|effect|h1_lemma=induce|h2_lemma=Innovar|h1_tag=VBN|h2_tag=NNP|path=obl<csubj:pass<convert>conj>nmod>obl
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e0|DDI-MedLine.d23.s2.e4|null|h1_lemma=induce|h2_lemma=administration|h1_tag=VBN|h2_tag=NN|path=obl<csubj:pass<convert>nmod>obl>dep
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e0|DDI-MedLine.d23.s2.e5|null|h1_lemma=induce|h2_lemma=administration|h1_tag=VBN|h2_tag=NN|path=obl<csubj:pass<convert>conj>obl>dep
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e1|DDI-MedLine.d23.s2.e2|null|h1_lemma=administration|h2_lemma=Innovar|h1_tag=NN|h2_tag=NNP|path=Innovar>conj
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e1|DDI-MedLine.d23.s2.e3|null|h1_lemma=administration|h2_lemma=Innovar|h1_tag=NN|h2_tag=NNP|path=Innovar>conj
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e1|DDI-MedLine.d23.s2.e4|null|h1_lemma=administration|h2_lemma=administration|h1_tag=NN|h2_tag=NN|path=nmod<obl<convert>nmod>obl>dep
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e1|DDI-MedLine.d23.s2.e5|null|h1_lemma=administration|h2_lemma=administration|h1_tag=NN|h2_tag=NN|path=nmod<obl<convert>conj>obl>dep
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e2|DDI-MedLine.d23.s2.e3|null|h1_lemma=Innovar|h2_lemma=Innovar|h1_tag=NNP|h2_tag=NNP|path=conj<Innovar>conj
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e2|DDI-MedLine.d23.s2.e4|null|h1_lemma=Innovar|h2_lemma=administration|h1_tag=NNP|h2_tag=NN|path=conj<nmod<obl<convert>nmod>obl>dep
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e2|DDI-MedLine.d23.s2.e5|null|h1_lemma=Innovar|h2_lemma=administration|h1_tag=NNP|h2_tag=NN|path=conj<nmod<obl<convert>conj>obl>dep
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e3|DDI-MedLine.d23.s2.e4|null|h1_lemma=Innovar|h2_lemma=administration|h1_tag=NNP|h2_tag=NN|path=conj<nmod<obl<convert>nmod>obl>dep
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e3|DDI-MedLine.d23.s2.e5|null|h1_lemma=Innovar|h2_lemma=administration|h1_tag=NNP|h2_tag=NN|path=conj<nmod<obl<convert>conj>obl>dep
DDI-MedLine.d23.s2|DDI-MedLine.d23.s2.e4|DDI-MedLine.d23.s2.e5|null|h1_lemma=administration|h2_lemma=administration|h1_tag=NN|h2_tag=NN|path=nmod<administration>conj
DDI-DrugBank.d287.s0|DDI-DrugBank.d287.s0.e0|DDI-DrugBank.d287.s0.e1|advise|h1_lemma=administer|h2_lemma=antagonist|h1_tag=VBN|h2_tag=NNS|path=nsubj:pass<administer>compound>obj>acl>obl|lemmainbetween=administer
DDI-DrugBank.d22.s0|DDI-DrugBank.d22.s0.e0|DDI-DrugBank.d22.s0.e1|mechanism|h1_lemma=acid|h2_lemma=amount|h1_tag=NN|h2_tag=NN|path=amod<nsubj<decrease>nmod>obj|lemmainbetween=decrease
DDI-DrugBank.d22.s0|DDI-DrugBank.d22.s0.e0|DDI-DrugBank.d22.s0.e2|mechanism|h1_lemma=acid|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=amod<nsubj<decrease>dep>nmod>obj|lemmainbetween=decrease
DDI-DrugBank.d22.s0|DDI-DrugBank.d22.s0.e0|DDI-DrugBank.d22.s0.e3|null|h1_lemma=acid|h2_lemma=Lanoxin|h1_tag=NN|h2_tag=NNP|path=amod<nsubj<decrease>appos>dep>nmod>obj|lemmainbetween=decrease
DDI-DrugBank.d22.s0|DDI-DrugBank.d22.s0.e1|DDI-DrugBank.d22.s0.e2|null|h1_lemma=amount|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=digoxin>dep
DDI-DrugBank.d22.s0|DDI-DrugBank.d22.s0.e1|DDI-DrugBank.d22.s0.e3|null|h1_lemma=amount|h2_lemma=Lanoxin|h1_tag=NN|h2_tag=NNP|path=digoxin>appos>dep
DDI-DrugBank.d22.s0|DDI-DrugBank.d22.s0.e2|DDI-DrugBank.d22.s0.e3|null|h1_lemma=digoxin|h2_lemma=Lanoxin|h1_tag=NN|h2_tag=NNP|path=Lanoxin>appos
DDI-DrugBank.d22.s1|DDI-DrugBank.d22.s1.e0|DDI-DrugBank.d22.s1.e1|advise|h1_lemma=take|h2_lemma=acid|h1_tag=VBG|h2_tag=NN|path=obj<take>amod>obj>advcl
DDI-DrugBank.d22.s1|DDI-DrugBank.d22.s1.e0|DDI-DrugBank.d22.s1.e2|null|h1_lemma=take|h2_lemma=None|h1_tag=VBG|h2_tag=None|path=None
DDI-DrugBank.d22.s1|DDI-DrugBank.d22.s1.e1|DDI-DrugBank.d22.s1.e2|null|h1_lemma=acid|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d22.s2|DDI-DrugBank.d22.s2.e0|DDI-DrugBank.d22.s2.e1|mechanism|h1_lemma=acid|h2_lemma=b12|h1_tag=NN|h2_tag=NN|path=amod<nsubj<decrease>compound>nmod>obj|lemmainbetween=decrease
DDI-DrugBank.d22.s3|DDI-DrugBank.d22.s3.e0|DDI-DrugBank.d22.s3.e1|advise|h1_lemma=b12|h2_lemma=acid|h1_tag=NN|h2_tag=NN|path=compound<compound<obj<take>amod>obj>advcl
DDI-DrugBank.d179.s1|DDI-DrugBank.d179.s1.e0|DDI-DrugBank.d179.s1.e1|int|h1_lemma=interact|h2_lemma=any|h1_tag=VB|h2_tag=DT|path=nsubj<interact>dep>obl|lemmainbetween=interact
DDI-DrugBank.d179.s1|DDI-DrugBank.d179.s1.e0|DDI-DrugBank.d179.s1.e2|int|h1_lemma=interact|h2_lemma=any|h1_tag=VB|h2_tag=DT|path=nsubj<interact>appos>obl|lemmainbetween=interact
DDI-DrugBank.d179.s1|DDI-DrugBank.d179.s1.e1|DDI-DrugBank.d179.s1.e2|null|h1_lemma=any|h2_lemma=any|h1_tag=DT|h2_tag=DT|path=dep<any>appos
DDI-DrugBank.d179.s2|DDI-DrugBank.d179.s2.e0|DDI-DrugBank.d179.s2.e1|null|h1_lemma=None|h2_lemma=amiodarone|h1_tag=TOP|h2_tag=NN|path=amiodarone>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e1|null|h1_lemma=steroid|h2_lemma=steroid|h1_tag=NNS|h2_tag=NNS|path=amod<steroid>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e2|null|h1_lemma=steroid|h2_lemma=nandrolone|h1_tag=NNS|h2_tag=NN|path=amod<steroid>appos>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e3|null|h1_lemma=steroid|h2_lemma=nandrolone|h1_tag=NNS|h2_tag=NN|path=amod<steroid>appos>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e4|null|h1_lemma=steroid|h2_lemma=steroid|h1_tag=NNS|h2_tag=NNS|path=amod<steroid>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e5|null|h1_lemma=steroid|h2_lemma=Anavar|h1_tag=NNS|h2_tag=NNP|path=amod<steroid>conj>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e6|null|h1_lemma=steroid|h2_lemma=oxymetholone|h1_tag=NNS|h2_tag=NN|path=amod<steroid>appos>conj>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e7|null|h1_lemma=steroid|h2_lemma=Winstrol|h1_tag=NNS|h2_tag=NNP|path=amod<steroid>dep>appos>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e0|DDI-DrugBank.d179.s3.e8|null|h1_lemma=steroid|h2_lemma=Anavar|h1_tag=NNS|h2_tag=NNP|path=amod<steroid>appos>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e2|null|h1_lemma=steroid|h2_lemma=nandrolone|h1_tag=NNS|h2_tag=NN|path=nandrolone>appos
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e3|null|h1_lemma=steroid|h2_lemma=nandrolone|h1_tag=NNS|h2_tag=NN|path=nandrolone>appos
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e4|null|h1_lemma=steroid|h2_lemma=steroid|h1_tag=NNS|h2_tag=NNS|path=dep<steroid>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e5|null|h1_lemma=steroid|h2_lemma=Anavar|h1_tag=NNS|h2_tag=NNP|path=dep<steroid>conj>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e6|null|h1_lemma=steroid|h2_lemma=oxymetholone|h1_tag=NNS|h2_tag=NN|path=dep<steroid>appos>conj>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e7|null|h1_lemma=steroid|h2_lemma=Winstrol|h1_tag=NNS|h2_tag=NNP|path=dep<steroid>dep>appos>dep
DDI-DrugBank.d179.s3|DDI-DrugBank.d179.s3.e1|DDI-DrugBank.d179.s3.e8|null|h1_lemma=steroid|h2_lemma=Anavar|h1_tag=NNS|h2_tag=NNP|path=dep<steroid>appos>dep
